repo,pr_number,pr_title,task_type,total_files,lines_added,lines_deleted,pr_additions,pr_deletions,pr_commits,pr_review_comments,pr_comments,design_files,testbench_files,script_files,constraint_files,memory_files,build_files,config_files,doc_files,image_files,other_files,has_testbench,tb_file_list,rtl_file_list
lowRISC/opentitan,29313,"[lc_ctrl,assert] Express LcInitDoneSticky_A more comfortably",other,1,1,3,1,3,1,0,5,1,0,0,0,0,0,0,0,0,0,0,,hw/ip/lc_ctrl/rtl/lc_ctrl.sv
darklife/darkriscv,100,Added comments,other,1,33,25,25,17,1,0,1,0,1,0,0,0,0,0,0,0,0,1,rtl/darkriscv.v,
YosysHQ/picorv32,229,Bugfix: decode fence instruction,other,1,6,2,6,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,picorv32.v,
darklife/darkriscv,97,Fixed comment typos,other,1,7,5,7,5,1,0,1,0,1,0,0,0,0,0,0,0,0,1,rtl/darkriscv.v,
jbush001/NyuziProcessor,117,"Issue #57 resolved, multiplication underflow",other,6,17,1,18,4,1,0,0,6,0,0,0,0,0,0,0,0,0,0,,hardware/core/core.sv|hardware/core/fp_execute_stage1.sv|hardware/core/fp_execute_stage2.sv|hardware/core/fp_execute_stage3.sv|hardware/core/fp_execute_stage4.sv|hardware/core/fp_execute_stage5.sv
darklife/darkriscv,95,Added 2 CSR counters: cycle & instructions,bug-fix,2,26,0,21,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,rtl/config.vh|rtl/darkriscv.v,
YosysHQ/picorv32,202,picosoc: enable fast multiply option for icebreaker,other,2,9,4,11,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,,picosoc/icebreaker.v|picosoc/picosoc.v
jbush001/NyuziProcessor,115,"Fix issue #56, Addition overflow",bug-fix,1,6,4,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,hardware/core/fp_execute_stage5.sv
YosysHQ/picorv32,152,Fix #151 (missing irqs),bug-fix,1,7,6,7,6,2,0,0,0,1,0,0,0,0,0,0,0,0,1,picorv32.v,
jbush001/NyuziProcessor,110,Changes to provide compatibility with VCS simulator.,other,5,121,52,93,24,1,0,6,0,5,0,0,0,0,0,0,0,0,1,hardware/testbench/TOP.sv|hardware/testbench/sim_ps2.sv|hardware/testbench/sim_sdmmc.sv|hardware/testbench/sim_sdram.sv|hardware/testbench/verilator_tb.sv,
YosysHQ/picorv32,158,added default clk divider parameter to simpleuart,other,1,2,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,picosoc/simpleuart.v
jbush001/NyuziProcessor,111,Added vcsbuild.pl and vcsrun.pl template scripts to support VCS.,other,1,1,1,288,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,hardware/testbench/TOP.sv,
